Assertion	Heuristic	Prediction	Actual
(deathDate ArthurFBurns (DayFn '6 (MonthFn June (YearFn '1987))))	InfoRelaMine	1	-1
(isa SocialCriticism FieldOfStudy)	CateMembMine	0	-1
(country CodeOfVengeance NuclearWeaponsAndTheUnitedStates)	InfoRelaMine	1	-1
(occupation SalMaccarone Author)	DBPediAligMine	1	1
(numberOfSeasons CodeOfVengeance (MonthFn January TheYear-Indexical))	DBPediAligMine	1	-1
(title Doom-TheGame Doom-Painting)	InfoRelaMine	1	-1
(neuroLex:Property-3AIs_part_of RockwoodTennessee Tennessee-State)	DBPediAligMine	1	-1
(influenced ArthurFBurns AlanGreenspan-Celebrity-Political)	DBPediAligMine	1	-1
(genls SocialCriticism AccidentallyLeavingSomethingSomewhere)	CateMembMine	0	-1
(isa Asteroid-impactAvoidance LandStuff)	CateMembMine	0	-1
(computingPlatform Doom-TheGame MS-DOS)	DBPediAligMine	1	-1
(channel CodeOfVengeance NationalBusCompany)	InfoRelaMine	1	-1
(language CodeOfVengeance LagunaDeBay)	InfoRelaMine	1	-1
(genls CodeOfVengeance MediaSeriesProduct)	CateMembMine	0	-1
(almaMater SalMaccarone SanJoseStateUniversity)	DBPediAligMine	1	-1
(designer Doom-TheGame ShawnGreen-BaseballPlayer)	InfoRelaMine	1	-1
(promotion Armageddon-2007 WWE)	InfoRelaMine	1	-1
(isa Jackhammer (InstanceNamedFn-Ternary "construction equipment" ExistingObjectType "fd7c667c-17ba-41d9-857f-d3f44941db7d"))	CateMembMine	1	-1
(nextEvent Armageddon-2007 Armageddon-2006)	InfoRelaMine	1	-1
(genls Armageddon-2007 Professional)	FirsSentParsMine	0	-1
(gameEngine Doom-TheGame DoomEngine)	DBPediAligMine	1	-1
(isa PrincessJohannaOfHesseAndByRhine Nobility)	CateMembMine	1	-1
(religion YsgolBrynAlyn None-CardiacValveStenosis)	InfoRelaMine	1	-1
(publisher Doom-TheGame Sega-CommercialOrganization)	DBPediAligMine	1	-1
(isa Asteroid-impactAvoidance Asteroid)	CateMembMine	0	-1
(isa Asteroid-impactAvoidance Asteroid-impactAvoidance)	FirsSentParsMine	0	-1
(isa Tongue-twister WordGame)	CateMembMine	1	-1
(nationality BrianFlemming UnitedStatesOfAmerica)	DBPediAligMine	1	-1
(birthPlace PrincessJohannaOfHesseAndByRhine Darmstadt)	DBPediAligMine	1	1
(genls CodeOfVengeance Debut)	CateMembMine	0	-1
(computingMedia Doom-TheGame FloppyDisk)	DBPediAligMine	1	-1
(genls NabilElderkin Photographer)	CateMembMine	0	-1
(genls BankOfCreditAndCommerceInternational CriminalAct)	CateMembMine	0	-1
(isa EthanolFermentation Ethanol)	CateMembMine	0	-1
(isa PeterPek (SubcollectionOfWithRelationFromTypeFn Person boardMembers Organization))	FirsSentParsMine	1	-1
(isa SocialCriticism AbandoningSomething)	CateMembMine	0	-1
(isa CodeOfVengeance NCAABasketballSeries)	CateMembMine	0	-1
(deathPlace PrincessJohannaOfHesseAndByRhine Hessen-StateGermany)	InfoRelaMine	1	-1
(deathPlace PrincessJohannaOfHesseAndByRhine GermanyInTheEurovisionSongContest)	InfoRelaMine	1	-1
(genls PeterPek Designer)	CateMembMine	0	-1
(objectFoundInLocation Armageddon-2007 CityOfPittsburghPA)	DBPediAligMine	0	-1
(genls PeterPek Management)	CateMembMine	0	-1
(country CodeOfVengeance AgricultureInTheUnitedStates)	InfoRelaMine	1	-1
(designer Doom-TheGame TomHall)	DBPediAligMine	1	-1
(isa SalMaccarone Author)	CateMembMine	1	1
(genls GaloisModule Theorizing)	CateMembMine	1	-1
(isa ArthurFBurns Economist)	CateMembMine	1	1
(postalCode VanNuysLosAngeles '91405)	InfoRelaMine	1	-1
(deathPlace PrincessJohannaOfHesseAndByRhine Darmstadt)	InfoRelaMine	1	-1
(series Doom-TheGame Doom-Painting)	InfoRelaMine	1	-1
(isa BrianFlemming Playwright)	FirsSentParsMine	1	1
(isa Asteroid-impactAvoidance Defenceman)	FirsSentParsMine	0	-1
(isa GordonACraig PresidentOfOrganization)	CateMembMine	1	-1
(isa MagicWand Shaft)	FirsSentParsMine	0	-1
(genls PrincessJohannaOfHesseAndByRhine GrandDuke-HeadOfState)	FirsSentParsMine	0	-1
(isa PrincessJohannaOfHesseAndByRhine GermanNobility)	CateMembMine	1	1
(genls SocialCriticism PoliticsOfGlobalWarming)	CateMembMine	0	-1
(designer Doom-TheGame JohnRomero)	DBPediAligMine	1	-1
(office BankOfCreditAndCommerceInternational (TerritoryFn CityOfKarachiPakistan))	InfoRelaMine	1	-1
(genls Jackhammer PhysicalDevice)	CateMembMine	0	-1
(language CodeOfVengeance HistoryOfTheEnglishLanguage)	InfoRelaMine	1	-1
(genls MagicWand Adhering-Adopting)	FirsSentParsMine	0	-1
(genls ArthurFBurns Cross-FixedStructure)	CateMembMine	0	-1
(isa EthanolFermentation Fermentation-Biochemistry)	CateMembMine	0	-1
(isa NabilElderkin EthnicGroupOfAustralians)	CateMembMine	1	-1
(numberOfStudents YsgolBrynAlyn (YearFn '800))	DBPediAligMine	1	-1
(isa BrianFlemming Director-Movie)	CateMembMine	1	1
(birthPlace SalMaccarone (CityNamedFn "Lawrence" Kansas-State))	InfoRelaMine	1	-1
(upperAge YsgolBrynAlyn (MonthFn November TheYear-Indexical))	DBPediAligMine	1	-1
(birthPlace PrincessJohannaOfHesseAndByRhine Germany)	InfoRelaMine	1	-1
(genls SocialCriticism FieldOfStudy)	CateMembMine	0	-1
(deathPlace ArthurFBurns BaltimoreRavens)	InfoRelaMine	1	-1
(name YsgolBrynAlyn YsgolBrynAlyn)	InfoRelaMine	1	-1
(foundedBy BankOfCreditAndCommerceInternational AghaHasanAbedi)	DBPediAligMine	1	-1
(isa PeterPek Designer)	CateMembMine	1	1
(areaCode VanNuysLosAngeles '747)	DBPediAligMine	1	-1
(genls SalMaccarone Person)	CateMembMine	0	-1
(utcOffset RockwoodTennessee (MonthFn May TheYear-Indexical))	InfoRelaMine	1	-1
(isa Asteroid-impactAvoidance Weapon)	CateMembMine	0	-1
(isa ArthurFBurns Council-Organization)	CateMembMine	0	-1
(genls SocialCriticism Discrimination)	CateMembMine	0	-1
(genls PeterPek BusinessPerson)	CateMembMine	0	-1
(genls 2-satisfiability Complaint)	CateMembMine	0	-1
(location BankOfCreditAndCommerceInternational LondonOhio)	InfoRelaMine	1	-1
(isa Doom-TheGame ComputerGameProgram)	FirsSentParsMine	1	-1
(genls CodeOfVengeance UnitedStatesPerson)	CateMembMine	0	-1
(postalCode RockwoodTennessee '37854)	DBPediAligMine	1	-1
(religion YsgolBrynAlyn None-EP)	InfoRelaMine	1	-1
(biologicalOffspring PrincessJohannaOfHesseAndByRhine PrincessCecilieOfGreeceAndDenmark)	DBPediAligMine	1	-1
(isa SalMaccarone FurniturePiece)	FirsSentParsMine	0	0
(genls MagicWand Weapon)	CateMembMine	0	-1
(genls GaloisModule (CBLGroupFn (CBLMethodFn CBLNode-CyclistEmailAddressChecking "cyclistEmailAddressChecking_task") arg1Isa))	FirsSentParsMine	1	-1
(genls MagicWand HeterosexualHuman)	FirsSentParsMine	0	-1
(country CodeOfVengeance UnitedStatesOfAmerica)	InfoRelaMine	1	-1
(language CodeOfVengeance ReceivedPronunciation)	InfoRelaMine	1	-1
(isa NabilElderkin (CitizenFn Australia))	CateMembMine	1	-1
(influenced ArthurFBurns MiltonFriedman)	DBPediAligMine	1	-1
(deathPlace ArthurFBurns (TerritoryFn Maryland-State))	InfoRelaMine	1	-1
(isa RockwoodTennessee County)	CateMembMine	0	-1
(genls GordonACraig Graduate)	CateMembMine	0	-1
(genls Asteroid-impactAvoidance Near-EarthObject)	FirsSentParsMine	1	1
(isa Ester Group)	CateMembMine	0	-1
(birthPlace SalMaccarone (CountyNamedFn "Lawrence" Kentucky-State))	InfoRelaMine	1	-1
(isa Armageddon-2007 WrestlingSportsEvent)	CateMembMine	1	1
(utcOffset VanNuysLosAngeles (MonthFn July TheYear-Indexical))	DBPediAligMine	1	-1
(isa Doom-TheGame ComputerGameProgram-Graphical)	FirsSentParsMine	1	1
(genls SalMaccarone Maker)	FirsSentParsMine	0	-1
(isa PrincessJohannaOfHesseAndByRhine GoverningSomething)	CateMembMine	0	-1
(isa SalMaccarone Woodworking)	FirsSentParsMine	0	1
(country ArthurFBurns Germany)	InfoRelaMine	1	-1
(country CodeOfVengeance EugenicsInTheUnitedStates)	InfoRelaMine	1	-1
(genls Doom-TheGame SpoiltVote)	CateMembMine	0	-1
(isa MagicWand WeightLosingProcess)	FirsSentParsMine	0	-1
(isa PeterPek ChinesePerson)	CateMembMine	1	-1
(elevation RockwoodTennessee '271.882)	DBPediAligMine	1	-1
(isa MagicWand Magic)	CateMembMine	0	-1
(genls AirMass-Astronomy OpticalPathLength)	FirsSentParsMine	0	0
(isa MagicWand Adhering-Adopting)	FirsSentParsMine	0	-1
(genls Asteroid-impactAvoidance LandStuff)	CateMembMine	0	-1
(deathPlace ArthurFBurns (TerritoryFn CityOfBaltimoreMD))	InfoRelaMine	1	-1
(deathDate ArthurFBurns '1987)	InfoRelaMine	1	-1
(genls PeterPek Radio)	FirsSentParsMine	0	-1
(isa PeterPek CreativeDirector)	FirsSentParsMine	0	0
(birthPlace SalMaccarone (CountyNamedFn "Lawrence" Alabama-State))	InfoRelaMine	1	-1
(isa AirMass-Astronomy (SubcollectionOfWithRelationFromTypeFn Distance lengthOfObject SpatialThing))	FirsSentParsMine	0	-1
(genls PeterPek CorporateBond-Agreement)	FirsSentParsMine	0	-1
(deathPlace ArthurFBurns BaltimoreCountyCork)	InfoRelaMine	1	-1
(genls GordonACraig (GroupFn AcademicProfessional))	CateMembMine	0	-1
(genls MagicWand MagicInFiction)	CateMembMine	0	-1
(isa PeterPek Speaker-Organization)	FirsSentParsMine	1	-1
(genls CodeOfVengeance UmbrellaTitle)	FirsSentParsMine	0	-1
(deathPlace PrincessJohannaOfHesseAndByRhine Darmstadt-Region)	InfoRelaMine	1	-1
(deathPlace ArthurFBurns BaltimoreOrioles)	InfoRelaMine	1	-1
(genls PrincessJohannaOfHesseAndByRhine GoverningSomething)	CateMembMine	0	-1
(president ArthurFBurns JimmyCarter)	InfoRelaMine	0	-1
(utcOffset VanNuysLosAngeles '-8)	DBPediAligMine	1	-1
(isa BankOfCreditAndCommerceInternational AccountingScandals)	CateMembMine	1	1
(genls ArthurFBurns Council-Organization)	CateMembMine	0	-1
(location Armageddon-2007 CityOfPittsburghPA)	DBPediAligMine	1	-1
(genls BrianFlemming DirectorOfOrganization)	CateMembMine	0	-1
(isa GaloisModule GaloisGroup)	FirsSentParsMine	0	-1
(genls BrianFlemming Atheist)	CateMembMine	0	-1
(predecessor ArthurFBurns WilliamMcChesneyMartin)	InfoRelaMine	1	-1
(birthDate ArthurFBurns (DayFn '27 (MonthFn August TheYear-Indexical)))	InfoRelaMine	1	-1
(isa 2-satisfiability Complaint)	CateMembMine	1	-1
(deathPlace ArthurFBurns Baltimore)	InfoRelaMine	1	-1
(isa CodeOfVengeance Series)	CateMembMine	0	-1
(genls NabilElderkin CroatianAustralian)	FirsSentParsMine	0	-1
(genls Asteroid-impactAvoidance MethodType)	FirsSentParsMine	0	-1
(isa PeterPek PublicRelationsActivity)	FirsSentParsMine	0	0
(isa GordonACraig Scholar)	CateMembMine	1	-1
(deathPlace ArthurFBurns Maryland-CountyLiberia)	InfoRelaMine	1	-1
(deathPlace PrincessJohannaOfHesseAndByRhine Germany)	DBPediAligMine	1	-1
(isa MagicWand Magician-Performer)	CateMembMine	0	-1
(areaCode RockwoodTennessee (YearFn '865))	InfoRelaMine	1	-1
(genls Doom-TheGame OnlineGameProgram)	CateMembMine	0	-1
(genls RockwoodTennessee County)	CateMembMine	0	-1
(deathDate PrincessJohannaOfHesseAndByRhine (DayFn '14 (MonthFn June (YearFn '1939))))	InfoRelaMine	1	-1
(genls BrianFlemming Director-Movie)	CateMembMine	0	-1
(country VanNuysLosAngeles UnitedStatesOfAmerica)	DBPediAligMine	1	-1
(publisher Doom-TheGame ActivisionValue)	InfoRelaMine	1	-1
(utcOffset VanNuysLosAngeles (MonthFn August TheYear-Indexical))	DBPediAligMine	1	-1
(genls PeterPek RadioPersonality)	CateMembMine	0	-1
(birthPlace ArthurFBurns Ivano-Frankivsk)	InfoRelaMine	1	1
(isa BrianFlemming ChiefInformationOfficer)	FirsSentParsMine	1	-1
(religion YsgolBrynAlyn None-AxisDeviation)	InfoRelaMine	1	-1
(isa PeterPek Editor)	CateMembMine	1	1
(genls PeterPek Author)	FirsSentParsMine	0	-1
(genls SalMaccarone Lecturer)	FirsSentParsMine	0	-1
(occupation SalMaccarone Sculptor)	InfoRelaMine	1	-1
(isa Asteroid-impactAvoidance Near-EarthObject)	FirsSentParsMine	0	-1
(genls Doom-TheGame ControversialAction)	CateMembMine	0	-1
(birthPlace SalMaccarone (CountyNamedFn "Lawrence" Tennessee-State))	InfoRelaMine	1	-1
(genls MagicWand Magician-Performer)	CateMembMine	0	-1
(isa MagicWand Weapon)	CateMembMine	0	-1
(genls BrianFlemming Person)	CateMembMine	0	-1
(language CodeOfVengeance BritishEnglishDialect)	InfoRelaMine	1	-1
(staff YsgolBrynAlyn (YearFn '50))	InfoRelaMine	1	-1
(genls SocialCriticism ResearchStudy)	CateMembMine	1	-1
(country CodeOfVengeance UnitedStatesAtThe2008SummerOlympics)	InfoRelaMine	1	-1
(isa SocialCriticism ResearchStudy)	CateMembMine	0	-1
(isa SocialCriticism Politics)	CateMembMine	0	-1
(series Doom-TheGame Doom2099)	InfoRelaMine	1	-1
(genls RockwoodTennessee City)	DBPediAligMine	0	-1
(industry BankOfCreditAndCommerceInternational BankingTurn)	InfoRelaMine	1	-1
(location BankOfCreditAndCommerceInternational London-ElectoralDistrict)	InfoRelaMine	1	-1
(areaTotal RockwoodTennessee '2.06E7)	DBPediAligMine	1	-1
(isa SalMaccarone Writer)	CateMembMine	1	-1
(birthPlace NabilElderkin CityOfChicagoIL)	InfoRelaMine	1	1
(genls BankOfCreditAndCommerceInternational PrivatelyHeldCorporation)	DBPediAligMine	0	-1
(birthPlace SalMaccarone Massachusetts-State)	InfoRelaMine	1	-1
(isa Jackhammer PhysicalDevice)	CateMembMine	1	-1
(event Armageddon-2007 Armageddon-TheMovie)	InfoRelaMine	1	-1
(isa InfantrySupportGun Weapon)	FirsSentParsMine	0	-1
(isa BankOfCreditAndCommerceInternational CriminalAct)	CateMembMine	1	-1
(birthPlace SalMaccarone (CountyNamedFn "Lawrence" Missouri-State))	InfoRelaMine	1	-1
(deathPlace ArthurFBurns (CountyNamedFn "Baltimore" Maryland-State))	InfoRelaMine	1	-1
(isa BrianFlemming Atheist)	CateMembMine	1	-1
(genls CodeOfVengeance Series)	CateMembMine	0	-1
(name NabilElderkin NabilElderkin)	InfoRelaMine	1	-1
(city YsgolBrynAlyn WrexhamCountyBorough)	InfoRelaMine	1	-1
(utcOffset VanNuysLosAngeles '-7)	DBPediAligMine	1	-1
(areaCode RockwoodTennessee '865)	InfoRelaMine	1	-1
(genls ArthurFBurns Person)	CateMembMine	0	-1
(genls ArthurFBurns JewishPerson)	CateMembMine	0	-1
(religion YsgolBrynAlyn None-PreopAtrialFibrillationType)	InfoRelaMine	1	-1
(mother PrincessJohannaOfHesseAndByRhine PrincessCecilieOfGreeceAndDenmark)	InfoRelaMine	1	1
(country YsgolBrynAlyn UnitedKingdomOfGreatBritainAndNorthernIreland)	DBPediAligMine	1	-1
(birthPlace SalMaccarone UnitedStatesOfAmerica)	InfoRelaMine	1	-1
(influenced ArthurFBurns GeorgeStigler)	DBPediAligMine	1	-1
(genls CodeOfVengeance Title)	FirsSentParsMine	0	-1
(isa PeterPek Journalist)	FirsSentParsMine	1	-1
(genls PeterPek FamousHuman)	CateMembMine	0	-1
(isa ArthurFBurns Animal)	null	1	-1
(isa MagicWand LinearObject-Straight)	FirsSentParsMine	0	-1
(deathPlace PrincessJohannaOfHesseAndByRhine EconomyOfGermany)	InfoRelaMine	1	-1
(publisher Doom-TheGame AtariComputerInc)	DBPediAligMine	1	-1
(genls PeterPek BrandManagement)	CateMembMine	0	-1
(isa YsgolBrynAlyn HighSchool)	CateMembMine	1	-1
(genls BankOfCreditAndCommerceInternational AcademicMajor)	FirsSentParsMine	0	-1
(president ArthurFBurns RichardNixon)	InfoRelaMine	0	1
(genls Asteroid-impactAvoidance PartiallyTangible)	FirsSentParsMine	1	-1
(isa Jackhammer CuttingSomething-CreationEvent)	CateMembMine	0	-1
(utcOffset RockwoodTennessee (MonthFn April TheYear-Indexical))	DBPediAligMine	1	-1
(isa CodeOfVengeance TitleAgreement)	FirsSentParsMine	0	-1
(genls Doom-TheGame ComputerGameProgram-Graphical)	FirsSentParsMine	0	-1
(isa GordonACraig Person)	CateMembMine	1	-1
(restingPlace PrincessJohannaOfHesseAndByRhine Darmstadt)	DBPediAligMine	1	-1
(isa Asteroid-impactAvoidance Soil-Generic)	CateMembMine	0	-1
(genls NabilElderkin MusicVideoCopy)	FirsSentParsMine	0	-1
(stateOfOrigin BrianFlemming UnitedStatesOfAmerica)	DBPediAligMine	1	-1
(predecessor ArthurFBurns LeonKeyserling)	InfoRelaMine	1	-1
(genls Tongue-twister ComputerGameProgram)	CateMembMine	0	-1
(isa Doom-TheGame Franchise)	CateMembMine	0	-1
(country YsgolBrynAlyn Wales)	DBPediAligMine	1	-1
(isa PeterPek Strategist)	FirsSentParsMine	1	1
(title Doom-TheGame Doom2099)	InfoRelaMine	1	-1
(genls GordonACraig Scholar)	CateMembMine	0	-1
(isa PrincessJohannaOfHesseAndByRhine Duke)	FirsSentParsMine	1	-1
(genls EthanolFermentation GO-BiologicalProcess)	FirsSentParsMine	1	-1
(genls JamesHolborneOfMenstrie Soldier)	FirsSentParsMine	0	-1
(genls PeterPek DirectorOfOrganization)	CateMembMine	0	-1
(areaCode VanNuysLosAngeles '818)	DBPediAligMine	1	-1
(genls NabilElderkin Person)	CateMembMine	0	-1
(numberOfSeasons CodeOfVengeance (YearFn '1))	DBPediAligMine	1	-1
(isa Doom-TheGame Commercial-CW)	CateMembMine	1	-1
(location BankOfCreditAndCommerceInternational London-EuropeanParliamentConstituency)	InfoRelaMine	1	-1
(occupation NabilElderkin Photographer)	InfoRelaMine	1	-1
(genls Asteroid-impactAvoidance Weapon)	CateMembMine	0	-1
(genls PeterPek PublicSpeaking)	FirsSentParsMine	0	-1
(isa NabilElderkin TakingAPhotograph)	FirsSentParsMine	0	0
(location BankOfCreditAndCommerceInternational (CityNamedFn "London" Ontario-CanadianProvince))	InfoRelaMine	1	-1
(elevation VanNuysLosAngeles '217.0)	DBPediAligMine	1	-1
(isa CodeOfVengeance MediaSeriesProduct)	CateMembMine	1	-1
(isa SalMaccarone ManufacturingCompany)	FirsSentParsMine	0	-1
(language CodeOfVengeance EnglishLanguage)	InfoRelaMine	1	-1
(religion YsgolBrynAlyn None-VentricularHypertrophySite)	InfoRelaMine	1	-1
(isa SocialCriticism Discrimination-ObtainingAndStoringKnowledge)	CateMembMine	0	-1
(isa PeterPek ComputerPrintingHardcopy)	CateMembMine	0	-1
(isa PrincessJohannaOfHesseAndByRhine GrandDuke-HeadOfState)	FirsSentParsMine	1	-1
(genls 2-satisfiability NL-complete)	CateMembMine	0	0
(genls MagicWand LinearObject-Straight)	FirsSentParsMine	0	-1
(deathPlace ArthurFBurns BaltimoreBayRunners)	InfoRelaMine	1	-1
(isa Doom-TheGame (CollectionDifferenceFn TemporalThing BiologicalLivingObject))	null	1	-1
(isa Doom-TheGame PublishedMaterial)	null	1	-1
(genls Asteroid-impactAvoidance DefenseAttorney)	FirsSentParsMine	1	-1
(genls MagicWand WeightLosingProcess)	FirsSentParsMine	0	-1
(isa NabilElderkin (SubcollectionOfWithRelationFromTypeFn Person boardMembers Organization))	FirsSentParsMine	1	-1
(isa NabilElderkin Person)	CateMembMine	1	-1
(deathDate ArthurFBurns (YearFn '1987))	InfoRelaMine	1	-1
(deathPlace ArthurFBurns AddressRegion_MARYLAND)	InfoRelaMine	1	-1
(name ArthurFBurns ArthurFBurns)	InfoRelaMine	1	-1
(lowerAge YsgolBrynAlyn (YearFn '7))	DBPediAligMine	1	-1
(genls SalMaccarone AudioSpeaker)	FirsSentParsMine	0	-1
(isa PeterPek ChiefInformationOfficer)	FirsSentParsMine	1	-1
(genls MagicWand SkinnyPhysicalBuild)	FirsSentParsMine	0	-1
(computingMedia Doom-TheGame CD-ROM)	DBPediAligMine	1	-1
(birthPlace SalMaccarone (CountyNamedFn "Lawrence" Ohio-State))	InfoRelaMine	1	-1
(country CodeOfVengeance EnvironmentalIssuesInTheUnitedStates)	InfoRelaMine	1	-1
(predecessor ArthurFBurns WalterJohnStoesselJr)	InfoRelaMine	1	-1
(location BankOfCreditAndCommerceInternational ChinatownLondon)	InfoRelaMine	1	-1
(genls Ester FunctionalGroup-Molecular)	CateMembMine	0	0
(isa CodeOfVengeance TitleClassType)	FirsSentParsMine	1	-1
(birthPlace NabilElderkin UnitedStatesOfAmerica)	InfoRelaMine	1	-1
(related CodeOfVengeance KnightRider-2008TVSeries)	InfoRelaMine	1	-1
(genls NabilElderkin ChiefInformationOfficer)	FirsSentParsMine	0	-1
(genls GordonACraig (InstanceNamedFn-Ternary "military" SkilledActivityType "de0aca10-b4de-41d9-924b-a9501bdb5562"))	CateMembMine	0	-1
(genls ArthurFBurns (GroupFn AcademicProfessional))	CateMembMine	0	-1
(genls CodeOfVengeance TitleAgreement)	FirsSentParsMine	0	-1
(isa MagicWand Diluting)	FirsSentParsMine	0	-1
(promotion Armageddon-2007 WorldWrestlingEntertainment)	InfoRelaMine	1	-1
(genls TrenchRailways MilitaryRailways)	CateMembMine	0	0
(religion YsgolBrynAlyn None-BundleBranchBlock)	InfoRelaMine	1	-1
(lowerAge YsgolBrynAlyn (MonthFn July TheYear-Indexical))	DBPediAligMine	1	-1
